,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pmult_N16,0.0017670469,0.0012372196000000001,0.0017670469,0.0017670469,0.0017743623000000001,0.0017670469,0.0017670469,0.0,0.0,0.0,0.0,0.0005885455000000001,0.0005888921,0.0029474218,0.0023695626999999998,0.0041553314,0.0069602208999999995,0.0083623598,0.0072198288000000005,0.0071633841000000005,0.0023626994,0.0023626994,0.00237419,0.0011809705,0.0023599151000000002,0.0035664395,0.004759030300000001,0.0029510668,0.0162931123,0.0163612065,0.0169232783,0.0160505776,0.0169232783,0.0169232783,0.0169232783,0.0169232783,0.0169232783,0.0169232783,0.016904869,0.0162931123
Pmult_CyP5-3,0.0011761095,0.0012372196000000001,0.0011761095,0.0011761095,0.0017743623000000001,0.0011761095,0.0011761095,0.0,0.0,0.0,0.0005885455000000001,0.0,0.0005888921,0.0023540935,0.0023695626999999998,0.0035558798,0.0069602208999999995,0.007752328,0.0072198288000000005,0.0065556684999999995,0.0017691289000000001,0.0017691289000000001,0.0017777192000000002,0.0011809705,0.0017670469,0.0035664395,0.004759030300000001,0.0023570007,0.0156639678,0.0163612065,0.016292133400000002,0.0160505776,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.0162511255,0.0156639678
Pmult_N17,0.0017680882999999998,0.0018590194,0.0017680882999999998,0.0017680882999999998,0.0023697008,0.0017680882999999998,0.0017680882999999998,0.0005909801,0.0005909801,0.0005909801,0.0005888921,0.0005888921,0.0,0.0029491601,0.0029668196999999997,0.0041577993,0.0078490132,0.0083673567,0.0078344365,0.0071676621,0.0023640957,0.0023640957,0.0023755999,0.0017743623000000001,0.0023613081,0.00416769,0.005362709300000001,0.0029528094,0.0163029454,0.0169951427,0.0169335074,0.016695911,0.0169335074,0.0169335074,0.0169335074,0.0169335074,0.0169335074,0.0169335074,0.0169154542,0.0163029454
Pmult_Or4-3,0.0011761095,0.0012372196000000001,0.0011761095,0.0011761095,0.0017743623000000001,0.0011761095,0.0011761095,0.0023638309,0.0023638309,0.0023638309,0.0029474218,0.0023540935,0.0029491601,0.0,0.0023695626999999998,0.0059358492,0.0104641391,0.01015351,0.0096416456,0.0089535833,0.0041345298999999995,0.0041345298999999995,0.0041546329,0.0011809705,0.0017670469,0.0059534958999999995,0.004759030300000001,0.0023570007,0.0156639678,0.0163612065,0.016292133400000002,0.0160505776,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.016292133400000002,0.0162511255,0.0156639678
Pmult_LSA,0.0011838333000000001,0.0012403619,0.0011838333000000001,0.0011838333000000001,0.0017786695,0.0011838333000000001,0.0011838333000000001,0.0023695626999999998,0.0023695626999999998,0.0023695626999999998,0.0023695626999999998,0.0023695626999999998,0.0029668196999999997,0.0023695626999999998,0.0,0.0059751672,0.0105014798,0.010221129300000001,0.0096654051,0.0090131894,0.0041617888,0.0041617888,0.004182158300000001,0.0011838333000000001,0.0017786695,0.003566037,0.0023754610999999998,0.0017786695,0.0157690767,0.0164016155,0.0164016155,0.016090971000000003,0.0164016155,0.0164016155,0.0164016155,0.0164016155,0.0164016155,0.0164016155,0.016364275600000002,0.0157690767
Pmult_MSA-5,0.0047449318,0.0049936988,0.0047449318,0.0047449318,0.0053691238,0.0047449318,0.0047449318,0.0035706915,0.0035706915,0.0035706915,0.0041553314,0.0035558798,0.0041577993,0.0059358492,0.0059751672,0.0,0.0123343029,0.011428158,0.010924146499999999,0.0102190646,0.0053531414,0.0053531414,0.005379349300000001,0.0047647118,0.0053467984,0.007194655699999999,0.008400372,0.0059432316,0.0187826977,0.0195020484,0.0194192611,0.0192489049,0.0194192611,0.0194192611,0.0194192611,0.0194192611,0.0194192611,0.0194192611,0.0194907912,0.0187826977
Pmult_BNB-2015,0.0087102176,0.0045680686,0.0087102176,0.0087102176,0.0096041764,0.0087102176,0.0087102176,0.0069602208999999995,0.0069602208999999995,0.0069602208999999995,0.0069602208999999995,0.0069602208999999995,0.0078490132,0.0104641391,0.0105014798,0.0123343029,0.0,0.015919138500000003,0.013198512800000001,0.0159513319,0.0078354014,0.0078490132,0.0087888958,0.0087102176,0.0096041764,0.0069602208999999995,0.0087102176,0.0096041764,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.028840443900000002,0.025217304,0.028840443900000002
Pmult_FT5,0.008951997,0.0087809211,0.008951997,0.008951997,0.0096046346,0.008951997,0.008951997,0.0077848186,0.0077848186,0.0077848186,0.0083623598,0.007752328,0.0083673567,0.01015351,0.010221129300000001,0.011428158,0.015919138500000003,0.0,0.0127721442,0.0132630596,0.0083514387,0.0083514387,0.0083924311,0.0089895438,0.0095644538,0.0114625431,0.0126789722,0.0101661925,0.0238444038,0.0245998735,0.024494535699999997,0.0244415367,0.024494535699999997,0.024494535699999997,0.024494535699999997,0.024494535699999997,0.024494535699999997,0.024494535699999997,0.024075753199999998,0.0238444038
Pmult_BR3,0.0084297967,0.0062873063,0.0084297967,0.0084297967,0.0090468746,0.0084297967,0.0084297967,0.0072198288000000005,0.0072198288000000005,0.0072198288000000005,0.0072198288000000005,0.0072198288000000005,0.0078344365,0.0096416456,0.0096654051,0.010924146499999999,0.013198512800000001,0.0127721442,0.0,0.0127744581,0.0078241115,0.0078241115,0.0078628624,0.0084297967,0.0090468746,0.0072198288000000005,0.0084297967,0.0090468746,0.022820226800000003,0.023474481000000002,0.023474481000000002,0.023206304700000003,0.023474481000000002,0.023474481000000002,0.023474481000000002,0.023474481000000002,0.023474481000000002,0.023474481000000002,0.021693008700000002,0.022820226800000003
Pmult_FT2,0.0077536992,0.0075217059999999995,0.0077536992,0.0077536992,0.008398959000000001,0.0077536992,0.0077536992,0.0065831278000000005,0.0065831278000000005,0.0065831278000000005,0.0071633841000000005,0.0065556684999999995,0.0071676621,0.0089535833,0.0090131894,0.0102190646,0.0159513319,0.0132630596,0.0127744581,0.0,0.0071540303,0.0071540303,0.007189129,0.0077862014000000005,0.0083638421,0.010249801800000001,0.0114646008,0.0089647662,0.0226087733,0.0233566055,0.0232566398,0.023174680099999997,0.0232566398,0.0232566398,0.0232566398,0.0232566398,0.0232566398,0.0232566398,0.022795201400000003,0.0226087733
Pmult_FT1,0.0029508954,0.0024795791,0.0029508954,0.0029508954,0.0035616029,0.0029508954,0.0029508954,0.0017764615,0.0017764615,0.0017764615,0.0023626994,0.0017691289000000001,0.0023640957,0.0041345298999999995,0.0041617888,0.0053531414,0.0078354014,0.0083514387,0.0078241115,0.0071540303,0.0,0.0023596412,0.002371102,0.0029631358000000003,0.0035468663,0.00536909,0.0065674087,0.0041396504,0.0175343746,0.0182449892,0.0181676937,0.017968701599999998,0.0181676937,0.0181676937,0.0181676937,0.0181676937,0.0181676937,0.0181676937,0.0175368197,0.0175343746
Pmult_FT4,0.0029508954,0.0024795791,0.0029508954,0.0029508954,0.0035616029,0.0029508954,0.0029508954,0.0017764615,0.0017764615,0.0017764615,0.0023626994,0.0017691289000000001,0.0023640957,0.0041345298999999995,0.0041617888,0.0053531414,0.0078490132,0.0083514387,0.0078241115,0.0071540303,0.0023596412,0.0,0.002371102,0.0029631358000000003,0.0035468663,0.00536909,0.0065674087,0.0041396504,0.0175343746,0.0182449892,0.0181676937,0.017968701599999998,0.0181676937,0.0181676937,0.0181676937,0.0181676937,0.0181676937,0.0181676937,0.0175368197,0.0175343746
Pmult_para200,0.0029652336,0.0024922376,0.0029652336,0.0029652336,0.0035790082,0.0029652336,0.0029652336,0.0017851232999999999,0.0017851232999999999,0.0017851232999999999,0.00237419,0.0017777192000000002,0.0023755999,0.0041546329,0.004182158300000001,0.005379349300000001,0.0087888958,0.0083924311,0.0078628624,0.007189129,0.002371102,0.002371102,0.0,0.0029775935,0.0035641276,0.005395454599999999,0.0065996787,0.0041598033,0.0176215042,0.018336171499999998,0.018258104299999998,0.0180602061,0.018258104299999998,0.018258104299999998,0.018258104299999998,0.018258104299999998,0.018258104299999998,0.018258104299999998,0.0176271027,0.0176215042
