id	new	current_study	erroneous
886DDE624A	Paramecium duboscqui IG2-1 HE819874.1	False	False
18E4585D9B	Paramecium duboscqui Tub2 HE819878.1	False	False
4CAE4B647E	Paramecium duboscqui Pd.2 HE819876.1	False	False
3890804A87	Paramecium duboscqui AWH9-4 HE819873.1	False	False
254F79EF2B	Paramecium calkinsi CyL 1-24 MG018200.1	False	False
D538083F0D	Paramecium calkinsi CyL 8-33 KY996811.1	False	False
EF040A10CD	Paramecium calkinsi A522 KY855553.1	False	False
614A8C0F51	Paramecium sp. CXR08032303 FJ875142.1	False	False
025BBD579F	Paramecium calkinsi MH819561.1	False	False
EE24E0034F	Paramecium sp. ID 19 LT993464.1	False	False
396834375A	Paramecium calkinsi 39 MT012297.1	False	False
7260C51170	Paramecium calkinsi KWBL12 KY855561.1	False	False
387AAEF109	Paramecium sp. paraGC FR869986.1	False	False
424D8573B5	Paramecium bursaria OK1 AB206537.1	False	False
E636AE3C89	Paramecium bursaria YD-2010-3 KC495066.1	False	False
E175F1886B	Paramecium bursaria CCAP 1660/12 AB252001.1	False	False
2D495483B3	Paramecium bursaria VL 12-10 MG589318.1	False	False
39B72D4684	Paramecium bursaria 1M-2 MG589316.1	False	False
0D9DE58C88	Paramecium bursaria aLdG3 LN869940.1	False	False
0139273D98	Paramecium bursaria AF100314.1	False	False
DA589780A2	Paramecium bursaria PB-SW1 AB206544.1	False	False
528770EE74	Frontonia sp. AP7 KY887580.1	False	False
CDADB4E601	Frontonia elegans LWW08112804 FJ868200.1	False	False
44B8B101CD	Frontonia ocularis LWW08112801 FJ868198.1	False	False
F66B1E05FA	Paramecium sp. ID L_15 LT993485.1	False	False
05A2E15CC3	Frontonia anatolica FANT01 MG456578.1	False	False
6EAC2C8AAB	Frontonia pusilla LWW08112805 FJ868201.1	False	False
665C17BC1F	Disematostoma minor FXP201070101 MF926592.1	False	False
EED11C3B5F	Paramecium sp. MP29-87 AB725340.1	False	False
465B006BC9	Frontonia tchibisovae QD-pop2 DQ883820.1	False	False
D347577155	Frontonia subtropica LWW08122203 FJ868202.1	False	False
511E01EA4B	Frontonia sp. SNK-2011b KR-09120101 HM140397.1	False	False
CF64AF21E7	Frontonia magna CXR08040803 FJ876953.1	False	False
04DED0B6EE	Frontonia elegans LWW08112803 FJ868199.1	False	False
E4BF3F3901	Paramecium gigas MT066234.1	False	False
