,Pmult_ChP5-3,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_CyP5-3,Pmult_BNB-2015,Pmult_FT5,Pmult_FT2,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pjen_FT3,2.995,3.066,2.995,2.995,2.877,3.442,3.224,2.989,3.053,2.886,3.004,2.642,2.535,2.525,2.706,2.525,2.995,3.066,3.053,2.886,3.004,3.224,3.442,2.642,2.535,2.525,2.706,0.531,0.412,0.412,0.413,0.588,0.59,0.0,3.464,3.251,3.109,3.109,3.168,3.116,3.234,3.887,3.871,3.871,4.689,4.551,5.572,5.229,3.979,5.334,5.605,5.654,5.556,5.432
Psp_FT8,4.164,4.24,4.164,4.164,4.284,4.635,4.389,4.154,4.106,4.297,4.176,4.167,4.125,4.108,4.207,4.108,4.164,4.24,4.106,4.297,4.176,4.389,4.635,4.167,4.125,4.108,4.207,3.361,3.467,3.467,3.54,3.582,3.361,3.464,0.0,3.43,3.578,3.578,3.586,3.586,3.593,4.417,4.399,4.399,4.974,5.094,5.975,5.569,4.678,5.319,5.726,5.464,5.965,5.841
Pgerm_GO1,3.542,3.601,3.542,3.542,3.662,4.284,4.012,3.776,3.481,3.662,3.542,4.135,4.135,4.135,4.202,4.135,3.542,3.601,3.481,3.662,3.542,4.012,4.284,4.135,4.135,4.135,4.202,2.894,3.31,3.31,3.31,3.487,3.249,3.251,3.43,0.0,0.414,0.414,0.419,0.414,0.48,1.835,1.835,1.835,5.192,5.692,5.952,5.952,4.655,5.834,6.195,6.195,6.302,6.18
Plyn_PO16-1,3.337,3.41,3.337,3.337,3.456,3.856,3.806,3.571,3.277,3.467,3.347,3.925,3.941,3.925,4.019,3.925,3.337,3.41,3.277,3.467,3.347,3.806,3.856,3.925,3.941,3.925,4.019,2.765,3.165,3.165,3.178,3.343,3.118,3.109,3.578,0.414,0.0,0.0,0.0,0.0,0.12,1.769,1.762,1.762,4.798,5.282,5.669,5.813,4.5,5.789,6.136,6.228,6.25,6.133
Plyn_SP-1,3.337,3.41,3.337,3.337,3.456,3.856,3.806,3.571,3.277,3.467,3.347,3.925,3.941,3.925,4.019,3.925,3.337,3.41,3.277,3.467,3.347,3.806,3.856,3.925,3.941,3.925,4.019,2.765,3.165,3.165,3.178,3.343,3.118,3.109,3.578,0.414,0.0,0.0,0.0,0.0,0.12,1.769,1.762,1.762,4.798,5.282,5.669,5.813,4.5,5.789,6.136,6.228,6.25,6.133
Plyn_SD11-9,3.401,3.461,3.401,3.401,3.522,3.856,3.878,3.64,3.339,3.522,3.401,4.0,4.0,4.0,4.019,4.0,3.401,3.461,3.339,3.522,3.401,3.878,3.856,4.0,4.0,4.0,4.019,2.806,3.226,3.226,3.226,3.407,3.164,3.168,3.586,0.419,0.0,0.0,0.0,0.0,0.12,1.795,1.795,1.795,4.89,5.387,5.777,5.9,4.586,5.9,6.205,6.321,6.369,6.25
Plyn_ShKm41,3.345,3.412,3.345,3.345,3.464,3.856,3.815,3.58,3.284,3.46,3.341,3.934,3.943,3.934,4.019,3.934,3.345,3.412,3.284,3.46,3.341,3.815,3.856,3.934,3.943,3.934,4.019,2.766,3.173,3.173,3.18,3.351,3.119,3.116,3.586,0.414,0.0,0.0,0.0,0.0,0.12,1.77,1.766,1.766,4.809,5.295,5.682,5.817,4.511,5.803,6.132,6.232,6.265,6.148
Plyn_HSG3-10,3.347,3.407,3.347,3.347,3.469,3.856,3.825,3.586,3.286,3.469,3.347,3.947,4.007,4.007,3.897,4.007,3.347,3.407,3.286,3.469,3.347,3.825,3.856,3.947,4.007,4.007,3.897,2.871,3.291,3.291,3.291,3.473,3.23,3.234,3.593,0.48,0.12,0.12,0.12,0.12,0.0,1.859,1.859,1.859,5.018,5.521,5.907,6.093,4.654,6.03,6.34,6.332,6.444,6.325
Pcaud_VL10-1,4.23,4.289,4.23,4.23,4.35,5.051,4.7,4.465,4.289,4.356,4.235,5.062,4.944,4.944,5.162,4.944,4.23,4.289,4.289,4.356,4.235,4.7,5.051,5.062,4.944,4.944,5.162,3.767,3.885,3.885,3.943,4.005,3.765,3.887,4.417,1.835,1.769,1.769,1.795,1.77,1.859,0.0,0.0,0.0,5.575,6.029,6.518,6.4,5.402,6.753,7.139,6.87,6.858,6.741
Pcaud_K5-2,4.213,4.289,4.213,4.213,4.333,5.051,4.681,4.447,4.272,4.345,4.225,5.041,4.944,4.924,5.162,4.924,4.213,4.289,4.272,4.345,4.225,4.681,5.051,5.041,4.944,4.924,5.162,3.767,3.869,3.869,3.943,3.988,3.765,3.871,4.399,1.835,1.762,1.762,1.795,1.766,1.859,0.0,0.0,0.0,5.552,6.004,6.491,6.4,5.38,6.725,7.139,6.87,6.83,6.713
